| Key | SC Code | Description | Duration (ms) |
| ! | 002 | ! | 78 |
| shift | 02A | shift | 130 |
| c | 02E | c | 141 |
| ctrl | 01D | ctrl | 140 |
| esc | 001 | esc | 35 |
| ! | 002 | ! | 20 |
| ~ | 029 | ~ | 21 |
| tab | 00F | tab | 82 |
| caps lock | 03A | caps lock | 68 |
| c | 02E | c | 30 |
| ctrl | 01D | ctrl | 43 |
| shift | 02A | shift | 74 |
| esc | 001 | esc | 3498 |
| ! | 002 | ! | 3503 |
| ~ | 029 | ~ | 3511 |
| tab | 00F | tab | 3510 |
| caps lock | 03A | caps lock | 3509 |
| shift | 02A | shift | 3508 |
| c | 02E | c | 3505 |
| ctrl | 01D | ctrl | 3510 |
| caps lock | 03A | caps lock | 22 |
| ! | 002 | ! | 105 |
| tab | 00F | tab | 81 |
| C | 02E | C | 185 |
| caps lock | 03A | caps lock | 77 |
| shift | 02A | shift | 190 |
| ctrl | 01D | ctrl | 178 |
| esc | 001 | esc | 142 |
| ` | 029 | ` | 125 |
| shift | 02A | shift | 339 |
| ctrl | 01D | ctrl | 343 |
| esc | 001 | esc | 339 |
| ` | 029 | ` | 340 |
| tab | 00F | tab | 363 |
| shift | 02A | shift | 5811 |
| C | 02E | C | 6210 |
| ! | 002 | ! | 42 |
| ~ | 029 | ~ | 37 |
| tab | 00F | tab | 42 |
| caps lock | 03A | caps lock | 38 |
| esc | 001 | esc | 28 |
| ctrl | 01D | ctrl | 28 |
| shift | 02A | shift | 27 |
| c | 02E | c | 41 |
| esc | 001 | esc | 53 |
| esc | 001 | esc | 39 |
| ~ | 029 | ~ | 142 |
| ! | 002 | ! | 146 |
| tab | 00F | tab | 146 |
| c | 02E | c | 122 |
| caps lock | 03A | caps lock | 146 |
| shift | 02A | shift | 139 |
| ctrl | 01D | ctrl | 145 |
| esc | 001 | esc | 55 |
| ~ | 029 | ~ | 55 |
| shift | 02A | shift | 55 |
| 1 | 002 | 1 | 60 |
| tab | 00F | tab | 61 |
| ctrl | 01D | ctrl | 59 |
| caps lock | 03A | caps lock | 63 |
| c | 02E | c | 62 |
| ~ | 029 | ~ | 31 |
| esc | 001 | esc | 45 |
| ! | 002 | ! | 46 |
| tab | 00F | tab | 45 |
| caps lock | 03A | caps lock | 44 |
| shift | 02A | shift | 49 |
| C | 02E | C | 48 |
| ctrl | 01D | ctrl | 52 |
| shift | 02A | shift | 1885 |
| shift | 02A | shift | 2143 |
| c | 02E | c | 2 |
| ctrl | 01D | ctrl | 2145 |
| esc | 001 | esc | 2152 |
| 1 | 002 | 1 | 2153 |
